"kode_kab","kode_instansi","unit_kerja"
"1109","1010001","PUSKESMAS TEUPAH SELATAN"
"1109","1010002","PUSKESMAS SIMEULUE TIMUR"
"1109","1010003","PUSKESMAS TEUPAH TENGAH"
"1109","1010004","PUSKESMAS TEUPAH BARAT"
"1109","1010005","PUSKESMAS SIMEULUE TENGAH"
"1109","1010006","PUSKESMAS SIMEULUE CUT"
"1109","1010007","PUSKESMAS TELUK DALAM"
"1109","1010008","PUSKESMAS SALANG"
"1109","1010009","PUSKESMAS SIMEULUE BARAT"
"1109","1010010","PUSKESMAS SANGGIRAN"
"1109","1010011","PUSKESMAS ALAFAN"
"1110","1010012","PUSKESMAS PULAU BANYAK"
"1110","1010013","PUSKESMAS PULAU BANYAK BARAT"
"1110","1010014","PUSKESMAS SINGKIL"
"1110","1010015","PUSKESMAS SINGKIL UTARA"
"1110","1010016","PUSKESMAS KUALA BARU"
"1110","1010017","PUSKESMAS SIMPANG KANAN"
"1110","1010018","PUSKESMAS GUNUNG MERIAH"
"1110","1010019","PUSKESMAS DANAU PARIS"
"1110","1010020","PUSKESMAS SURO"
"1110","1010021","PUSKESMAS SINGKOHOR"
"1110","1010022","PUSKESMAS KUTA BAHARU"
"1101","1010023","PUSKESMAS TRUMON"
"1101","1010024","PUSKESMAS LADANG RIMBA"
"1101","1010025","PUSKESMAS KRUENG LUAS"
"1101","1010026","PUSKESMAS BAKONGAN"
"1101","1010027","PUSKESMAS BUKIT GADENG"
"1101","1010028","PUSKESMAS SEUBADEH"
"1101","1010029","PUSKESMAS KLUET SELATAN"
"1101","1010030","PUSKESMAS DURIAN KAWAN"
"1101","1010031","PUSKESMAS KLUET TIMUR"
"1101","1010032","PUSKESMAS KLUET UTARA"
"1101","1010033","PUSKESMAS KAMPUNG PAYA"
"1101","1010034","PUSKESMAS KUALA BA'U"
"1101","1010035","PUSKESMAS LADANG TUHA"
"1101","1010036","PUSKESMAS MENGGAMAT"
"1101","1010037","PUSKESMAS TAPAKTUAN"
"1101","1010038","PUSKESMAS LHOK BENGKUANG"
"1101","1010039","PUSKESMAS SAMADUA"
"1101","1010040","PUSKESMAS SAWANG"
"1101","1010041","PUSKESMAS MEUKEK"
"1101","1010042","PUSKESMAS DRIEN JALO"
"1101","1010043","PUSKESMAS LABUHAN HAJI"
"1101","1010044","PUSKESMAS PEULUMAT"
"1101","1010045","PUSKESMAS BLANGKEJEREN"
"1102","1010046","PUSKESMAS NGKERAN"
"1102","1010047","PUSKESMAS LAWE SUMUR"
"1102","1010048","PUSKESMAS UNING SIGUR-GUR"
"1102","1010049","PUSKESMAS TANOH ALAS"
"1102","1010050","PUSKESMAS LAWE SIGALA-GALA"
