"kode_kab","kode_instansi","unit_kerja"
"1109","1101015","RS UMUM DAERAH SIMEULUE"
"1110","1102016","RS UMUM DAERAH ACEH SINGKIL"
"1175","1102027","RS UMUM DAERAH KOTA SUBULUSSALAM"
"1101","1103010","RS UMUM DAERAH DR. H. YULIDIN AWAY"
"1102","1104011","RS UMUM DAERAH H. SAHUDIN KUTACANE"
"1102","1104012","RS UMUM NURUL HASANAH"
"1102","1104013","RS IBU DAN ANAK KELUARGA DESA"
"1116","1105034","RS UMUM PERTAMINA RANTAU"
"1103","1105056","RS UMUM DAERAH DR. ZUBIR MAHMUD"
"1103","1105067","RS UMUM DAERAH SULTAN ABDUL AZIZ SYAH PEUREULAK"
"1103","1105078","RS UMUM GRAHA BUNDA"
"1104","1106013","RS UMUM DAERAH DATU BERU TAKENGON"
"1104","1106014","RS UMUM FANDIKA"
"1105","1107014","RS UMUM DAERAH CUT NYAK DHIEN"
"1105","1107015","RS UMUM MONTELLA"
"1105","1107016","RS UMUM HARAPAN SEHAT"
"1105","1107017","RS TINGKAT IV IM 07.02"
"1106","1108015","RS UMUM DAERAH KABUPATEN ACEH BESAR"
"1106","1108016","RS UMUM AL-ISLAMIC ACEH HOSPITAL"
"1106","1108017","RS UMUM IBNU SINA"
"1107","1109016","RS UMUM DAERAH TGK CHIK DITIRO SIGLI"
"1107","1109027","RS UMUM DAERAH TGK. ABDULLAH SYAFII BEUREUNEUN"
"1107","1109028","RS UMUM MUFID"
"1107","1109029","RS UMUM CITRA HUSADA"
"1107","1109031","RS ISLAM IBNU SINA SIGLI"
"1107","1109042","RS UMUM HARAPAN IBU"
"1111","1110027","RS UMUM MALAHAYATI"
"1173","1110053","RS ARUN LHOKSEUMAWE"
"1111","1110075","RS UMUM DAERAH DR. FAUZIAH BIREUN"
"1173","1110086","RS UMUM BUNDA"
"1111","1110101","RS UMUM BIREUEN MEDICAL CENTER"
"1111","1110102","RS UMUM TELAGA BUNDA"
"1111","1110103","RS UMUM AVICENNA"
"1111","1110104","RS UMUM JEUMPA HOSPITAL"
"1108","1111005","RS UMUM PRIMA INTI MEDIKA"
"1108","1111006","RS UMUM DAERAH DR. MUCHTAR HASBI"
"1173","1111018","RS UMUM PMI CABANG ACEH UTARA"
"1112","1112011","RS UMUM DAERAH TEUNGKU PEUKAN"
"1113","1113012","RS UMUM MUHAMMAD ALI KASIM"
"1116","1114011","RS UMUM DAERAH TAMIANG"
"1115","1115012","RS UMUM DAERAH SULTAN ISKANDAR MUDA NAGAN RAYA"
"1114","1116011","RS UMUM DAERAH TEUKU UMAR KABUPATEN ACEH JAYA"
"1117","1117025","RS UMUM DAERAH MUYANG KUTE REDELONG BENER MERIAH"
"1117","1117027","RS IBU DAN ANAK AZALIA"
"1118","1118012","RS UMUM DAERAH PIDIE JAYA"
"1171","1171015","RS UMUM DAERAH  DR. ZAINOEL ABIDIN"
"1171","1171026","RS TK. II ISKANDAR MUDA BANDA ACEH"
"1171","1171041","RS JIWA ACEH"
"1171","1171085","RS UMUM MALAHAYATI"
"1171","1171096","RS UMUM HARAPAN BUNDA BANDA ACEH"
"1171","1171106","RS UMUM TEUNGKU FAKINAH"
"1171","1171110","RS UMUM DAERAH MEURAXA"
"1171","1171121","RS IBU DAN ANAK PROPINSI NAD"
"1171","1171143","RS BHAYANGKARA BANDA ACEH"
"1171","1171145","RS UMUM MEUTIA"
"1171","1171146","RS IBU DAN ANAK CEMPAKA AZ ZAHRA BANDA ACEH"
"1171","1171147","RS PENDIDIKAN UNIVERSITAS SYIAH KUALA"
"1171","1171150","RS UMUM PERTAMEDIKA UMMI ROSNATI"
"1171","1171161","RS UMUM CEMPAKA LIMA"
"1172","1172016","RS UMUM DAERAH SABANG"
"1172","1172031","RS AL SABANG"
"1174","1173003","RS UMUM UMMI LANGSA"
"1174","1173012","RS UMUM DAERAH LANGSA"
"1174","1173023","RS UMUM CUT MEUTIA"
"1174","1173045","RS CUT NYAK DHIEN LANGSA"
"1108","1174016","RS UMUM DAERAH CUT MEUTIA KAB. ACEH UTARA"
"1173","1174019","RS UMUM BUNGA MELATI"
"1173","1174021","RS UMUM SAKINAH"
"1173","1174022","RS UMUM METRO MEDICAL CENTER"
"1173","1174023","RS IBU DAN ANAK ABBY"
"1173","1174024","RS UMUM AZ-ZUHRA"
"1173","1174064","RS UMUM YAYASAN KASIH IBU"
"1173","1174100","RS TK. IV LHOKSEUMAWE ACEH UTARA"
"1204","1201016","RS UMUM DAERAH DR. M. THOMSEN NIAS"
"1213","1202017","RS UMUM DAERAH DR. HUSNI THAMRIN"
"1213","1202028","RS UMUM PERMATA MADINA PANYABUNGAN"
