"kode_prov","kode_kab","kode_kec","nama_wilayah"
"11",NULL,NULL,"ACEH"
"12",NULL,NULL,"SUMATERA UTARA"
"13",NULL,NULL,"SUMATERA BARAT"
"14",NULL,NULL,"RIAU"
"15",NULL,NULL,"JAMBI"
"16",NULL,NULL,"SUMATERA SELATAN"
"17",NULL,NULL,"BENGKULU"
"18",NULL,NULL,"LAMPUNG"
"19",NULL,NULL,"KEPULAUAN BANGKA BELITUNG"
"21",NULL,NULL,"KEPULAUAN RIAU"
"31",NULL,NULL,"DKI JAKARTA"
"32",NULL,NULL,"JAWA BARAT"
"33",NULL,NULL,"JAWA TENGAH"
"34",NULL,NULL,"DAERAH ISTIMEWA YOGYAKARTA"
"35",NULL,NULL,"JAWA TIMUR"
"36",NULL,NULL,"BANTEN"
"51",NULL,NULL,"BALI"
"52",NULL,NULL,"NUSA TENGGARA BARAT"
"53",NULL,NULL,"NUSA TENGGARA TIMUR"
"61",NULL,NULL,"KALIMANTAN BARAT"
"62",NULL,NULL,"KALIMANTAN TENGAH"
"63",NULL,NULL,"KALIMANTAN SELATAN"
"64",NULL,NULL,"KALIMANTAN TIMUR"
"65",NULL,NULL,"KALIMANTAN UTARA"
"71",NULL,NULL,"SULAWESI UTARA"
"72",NULL,NULL,"SULAWESI TENGAH"
"73",NULL,NULL,"SULAWESI SELATAN"
"74",NULL,NULL,"SULAWESI TENGGARA"
"75",NULL,NULL,"GORONTALO"
"76",NULL,NULL,"SULAWESI BARAT"
"81",NULL,NULL,"MALUKU"
"82",NULL,NULL,"MALUKU UTARA"
"91",NULL,NULL,"PAPUA"
"92",NULL,NULL,"PAPUA BARAT"
"11","1101",NULL,"KABUPATEN ACEH SELATAN"
"11","1102",NULL,"KABUPATEN ACEH TENGGARA"
"11","1103",NULL,"KABUPATEN ACEH TIMUR"
"11","1104",NULL,"KABUPATEN ACEH TENGAH"
"11","1105",NULL,"KABUPATEN ACEH BARAT"
"11","1106",NULL,"KABUPATEN ACEH BESAR"
"11","1107",NULL,"KABUPATEN PIDIE"
"11","1108",NULL,"KABUPATEN ACEH UTARA"
"11","1109",NULL,"KABUPATEN SIMEULUE"
"11","1110",NULL,"KABUPATEN ACEH SINGKIL"
"11","1111",NULL,"KABUPATEN BIREUEN"
"11","1112",NULL,"KABUPATEN ACEH BARAT DAYA"
"11","1113",NULL,"KABUPATEN GAYO LUES"
"11","1114",NULL,"KABUPATEN ACEH JAYA"
"11","1115",NULL,"KABUPATEN NAGAN RAYA"
"11","1116",NULL,"KABUPATEN ACEH TAMIANG"
"11","1117",NULL,"KABUPATEN BENER MERIAH"
"11","1118",NULL,"KABUPATEN PIDIE JAYA"
"11","1171",NULL,"KOTA BANDA ACEH"
"11","1172",NULL,"KOTA SABANG"
"11","1173",NULL,"KOTA LHOKSEUMAWE"
"11","1174",NULL,"KOTA LANGSA"
"11","1175",NULL,"KOTA SUBULUSSALAM"
"12","1201",NULL,"KABUPATEN TAPANULI TENGAH"
"12","1202",NULL,"KABUPATEN TAPANULI UTARA"
"12","1203",NULL,"KABUPATEN TAPANULI SELATAN"
"12","1204",NULL,"KABUPATEN NIAS"
"12","1205",NULL,"KABUPATEN LANGKAT"
"12","1206",NULL,"KABUPATEN KARO"
"12","1207",NULL,"KABUPATEN DELI SERDANG"
"12","1208",NULL,"KABUPATEN SIMALUNGUN"
"12","1209",NULL,"KABUPATEN ASAHAN"
"12","1210",NULL,"KABUPATEN LABUHANBATU"
"12","1211",NULL,"KABUPATEN DAIRI"
"12","1212",NULL,"KABUPATEN TOBA SAMOSIR"
"12","1213",NULL,"KABUPATEN MANDAILING NATAL"
"12","1214",NULL,"KABUPATEN NIAS SELATAN"
"12","1215",NULL,"KABUPATEN PAKPAK BHARAT"
"12","1216",NULL,"KABUPATEN HUMBANG HASUNDUTAN"
"12","1217",NULL,"KABUPATEN SAMOSIR"
"12","1218",NULL,"KABUPATEN SERDANG BEDAGAI"
"12","1219",NULL,"KABUPATEN BATU BARA"
"12","1220",NULL,"KABUPATEN PADANG LAWAS UTARA"
"12","1221",NULL,"KABUPATEN PADANG LAWAS"
"12","1222",NULL,"KABUPATEN LABUHANBATU SELATAN"
"12","1223",NULL,"KABUPATEN LABUHANBATU UTARA"
"12","1224",NULL,"KABUPATEN NIAS UTARA"
"12","1225",NULL,"KABUPATEN NIAS BARAT"
"12","1271",NULL,"KOTA MEDAN"
"12","1272",NULL,"KOTA PEMATANGSIANTAR"
"12","1273",NULL,"KOTA SIBOLGA"
"12","1274",NULL,"KOTA TANJUNG BALAI"
"12","1275",NULL,"KOTA BINJAI"
"12","1276",NULL,"KOTA TEBING TINGGI"
"12","1277",NULL,"KOTA PADANG SIDEMPUAN"
"12","1278",NULL,"KOTA GUNUNGSITOLI"
"13","1301",NULL,"KABUPATEN PESISIR SELATAN"
"13","1302",NULL,"KABUPATEN SOLOK"
"13","1303",NULL,"KABUPATEN SIJUNJUNG"
"13","1304",NULL,"KABUPATEN TANAH DATAR"
"13","1305",NULL,"KABUPATEN PADANG PARIAMAN"
"13","1306",NULL,"KABUPATEN AGAM"
"13","1307",NULL,"KABUPATEN LIMA PULUH KOTA"
"13","1308",NULL,"KABUPATEN PASAMAN"
"13","1309",NULL,"KABUPATEN KEPULAUAN MENTAWAI"
"13","1310",NULL,"KABUPATEN DHARMASRAYA"
"13","1311",NULL,"KABUPATEN SOLOK SELATAN"
"13","1312",NULL,"KABUPATEN PASAMAN BARAT"
"13","1371",NULL,"KOTA PADANG"
"13","1372",NULL,"KOTA SOLOK"
"13","1373",NULL,"KOTA SAWAHLUNTO"
"13","1374",NULL,"KOTA PADANG PANJANG"
"13","1375",NULL,"KOTA BUKITTINGGI"
"13","1376",NULL,"KOTA PAYAKUMBUH"
"13","1377",NULL,"KOTA PARIAMAN"
"14","1401",NULL,"KABUPATEN KAMPAR"
"14","1402",NULL,"KABUPATEN INDRAGIRI HULU"
"14","1403",NULL,"KABUPATEN BENGKALIS"
"14","1404",NULL,"KABUPATEN INDRAGIRI HILIR"
"14","1405",NULL,"KABUPATEN PELALAWAN"
"14","1406",NULL,"KABUPATEN ROKAN HULU"
"14","1407",NULL,"KABUPATEN ROKAN HILIR"
"14","1408",NULL,"KABUPATEN SIAK"
"14","1409",NULL,"KABUPATEN KUANTAN SINGINGI"
"14","1410",NULL,"KABUPATEN KEPULAUAN MERANTI"
"14","1471",NULL,"KOTA PEKANBARU"
"14","1472",NULL,"KOTA DUMAI"
"15","1501",NULL,"KABUPATEN KERINCI"
"15","1502",NULL,"KABUPATEN MERANGIN"
"15","1503",NULL,"KABUPATEN SAROLANGUN"
"15","1504",NULL,"KABUPATEN BATANGHARI"
"15","1505",NULL,"KABUPATEN MUARO JAMBI"
"15","1506",NULL,"KABUPATEN TANJUNG JABUNG BARAT"
"15","1507",NULL,"KABUPATEN TANJUNG JABUNG TIMUR"
"15","1508",NULL,"KABUPATEN BUNGO"
"15","1509",NULL,"KABUPATEN TEBO"
"15","1571",NULL,"KOTA JAMBI"
"15","1572",NULL,"KOTA SUNGAI PENUH"
"16","1601",NULL,"KABUPATEN OGAN KOMERING ULU"
"16","1602",NULL,"KABUPATEN OGAN KOMERING ILIR"
"16","1603",NULL,"KABUPATEN MUARA ENIM"
"16","1604",NULL,"KABUPATEN LAHAT"
"16","1605",NULL,"KABUPATEN MUSI RAWAS"
"16","1606",NULL,"KABUPATEN MUSI BANYUASIN"
"16","1607",NULL,"KABUPATEN BANYUASIN"
"16","1608",NULL,"KABUPATEN OGAN KOMERING ULU TIMUR"
"16","1609",NULL,"KABUPATEN OGAN KOMERING ULU SELATAN"
"16","1610",NULL,"KABUPATEN OGAN ILIR"
"16","1611",NULL,"KABUPATEN EMPAT LAWANG"
"16","1612",NULL,"KABUPATEN PENUKAL ABAB LEMATANG ILIR"
"16","1613",NULL,"KABUPATEN MUSI RAWAS UTARA"
"16","1671",NULL,"KOTA PALEMBANG"
"16","1672",NULL,"KOTA PAGAR ALAM"
"16","1673",NULL,"KOTA LUBUK LINGGAU"
"16","1674",NULL,"KOTA PRABUMULIH"
"17","1701",NULL,"KABUPATEN BENGKULU SELATAN"
"17","1702",NULL,"KABUPATEN REJANG LEBONG"
"17","1703",NULL,"KABUPATEN BENGKULU UTARA"
"17","1704",NULL,"KABUPATEN KAUR"
"17","1705",NULL,"KABUPATEN SELUMA"
"17","1706",NULL,"KABUPATEN MUKO MUKO"
"17","1707",NULL,"KABUPATEN LEBONG"
"17","1708",NULL,"KABUPATEN KEPAHIANG"
"17","1709",NULL,"KABUPATEN BENGKULU TENGAH"
